"","X","commit_hash","commit_message","fix","classification","contains_bug","ns","nd","nf","entrophy","la","ld","lt","ndev","age","nuc","exp","rexp","sexp","glm_probability","name","commit_words","bayesian_score","spam_ham","jacob","charles"
"2",2,"349c895f8b7fc4bb19ad9e85eeef0ec63a694b46","EA-50983","False","None","f",1,1,2,0.845350936622437,8,3,963.5,21,4.90938657407407,87,3711.5,1.12254196466405,3526,0,"intellij-plugins",2,0.5,"ham","True","True"
"9",9,"4980c3d1716398e168fa13ae8521804fe5c2545d","--Empty Message--","False","None","f",1,1,1,0,0,2,156,1,5.78703703703704e-05,41,4753,17281,4322,0,"icpc",2,0.1043363576,"ham","True","True"
"16",18,"edb13d54688dfed1559ae5cfdde4e454dbd4d0ab","Added wait methods","False","Feature Addition","t",1,1,1,0,22,2,2417,8,69.6293171296296,39,9687,1.01436176658373,70,0,"MDSplus",3,0.859381820253,"spam","True","True"
"18",20,"27b8e59c24b9bc39a31248c74d5d59803a14a621","remove temporary leniency","False","None","f",1,1,1,0,3,5,192,99,6.07925925925926,10,2877,1.16449372486901,69,0,"elasticsearch",3,0.74792672657,"ham","True","True"
"19",21,"c6098ef1fc69fe117343cc2e3db0d2b97b2daa6f","SharedPreferences commit -> apply.Change-Id: I3c54bcd78ed74107840254a9861dc68f9bec3cc8n","False","None","f",1,1,1,0,2,2,1108,5,1.11611111111111,12,0,0,0,0,"android_packages_apps_DeskClock",6,0.601161020146,"ham","True","True"
"35",39,"e9d3dd60ba77a1723ad8e97aea2782e8d562e046","JOP13","False","None","f",1,1,1,0,3,13,-9794,21,0.490810185185185,2512,2015,3.03744753100976,2015,0,"android_build",1,0.822790951727,"spam","True","True"
"44",49,"41d0f0ae101dd1639e294b0bef4cf907a9c5eb81","votegit-svn-id: https://svn.apache.org/repos/asf/tomcat/tc6.0.x/trunk@947608 13f79535-47bb-0310-9956-ffa450edef68n","False","None","f",1,1,1,0,8,1,198,7,0.0296527777777778,2110,1006,34.7236533957845,297,0,"tomcat60",20,0.843191240932,"spam","True","True"
"48",53,"80ccdc16366a886a8a0d08b58b346e82747a8fc2","whitespace","False","None","f",1,1,1,0,7,10,136,11,74.2699652777778,4,1238,1.01346439299197,863,0,"JacORB",1,0.804449421327,"ham","True","True"
"60",66,"52087b4e205395592325c650ab8e7b3bee868667","Docs tweaks","False","Non Functional","f",1,2,2,0.485460760745913,8,11,55,23,0.0090625,4,7911.5,216.412293853073,3906,0,"TiddlyWiki5",2,0.695385469085,"spam","True","True"
"62",68,"cb2306b4032fee340394d53ca808e521002da082","how about this?git-svn-id: https://valelab.ucsf.edu/svn/micromanager2/trunk@5910 d0ab736e-dc22-4aeb-8dc9-08def0aa14fdn","False","None","f",1,1,1,0,1,1,155,5,0.0003125,19,1802,3201,53,0,"PrecisExciteTCP",16,0.592183768001,"ham","True","True"
"64",70,"471743d1aee84a07c57d1faf4be783963194c32c","","False","None","f",1,1,1,0,2,2,163,8,1.19326388888889,4,2743,1.83803759529768,54,0,"aio-portal",0,0.803611827993,"spam","True","True"
"99",105,"ca8ba5cdd752f495b02076d1b5e315be83686f71","Changes.","False","None","f",1,1,1,0,4,1,1163,5,0.841400462962963,85,871,2.18849471092342,143,0,"Colloquy",1,0.34856169929,"ham","True","True"
"103",109,"9604ba836e6db0fee992847d9d74f1bdfd5bc7be","Just pull everything from Mobile and shared bits for tablet. :D","False","None","f",1,3,11,1.66772383521174,13,425,38.6363636363636,1,103.557702020202,10,723,0.911428383632554,77,0,"status-net-mirror",7,0.0443612937437,"spam","True","True"
"106",112,"132d42af381e454b4c3460c553bb0f93e6808f31","remove more dead code. [126]","False","None","f",1,1,2,1,0,10,622.5,5,0.0075462962962963,38,166.5,100.386503067485,166,0,"mcidasv",4,0.751094987693,"spam","True","True"
"108",114,"f1adb7cdee05fc0bebc92e2319a9e7c0b33d0d45","Fix logger namesgit-svn-id: https://svn.apache.org/repos/asf/cassandra/branches/cassandra-1.0@1189073 13f79535-47bb-0310-9956-ffa450edef68n","True","Corrective","f",1,2,3,1.58496250072116,3,3,325,12,19.2090702160494,49,1240,1.02033372472089,698,0,"apache-hosted-cassandra",22,0.762946231192,"spam","True","True"
"111",117,"8955abee107fb8ef9aea27891e8d8c46564ae15f","re-organize test code","False","Preventative","f",1,1,1,0,28,14,136,7,0.0398958333333333,17,57,26.065274151436,55,0,"rstudio",3,0.603150475845,"ham","True","True"
"115",121,"dd548adfcb6f64f3abf91ea4ba6a8157ed5b96da","Updated changelog","False","None","f",1,1,1,0,36,1,2993,10,19.3518402777778,470,8750,1.05167467205423,710,0,"UniversalMediaServer",2,0.489688629285,"ham","True","True"
"125",131,"3f48ab05236b6bfda0bd4ba9ce50345ef7d64c3f","duhagaingit-svn-id: svn://svn.code.sf.net/p/fedora-commons/code/fedora/trunk@29 6cc838c6-e627-0410-8cce-a6db3432f928n","False","None","f",1,1,92,0,0,0,0,1,1.15740740740741e-05,276,2142.5,4794.72479424288,1021,0,"fcrepo-historical",20,0.24266099394,"ham","True","True"
"134",140,"a54973ff6eb3d9ac16bab834cb9b8a47fd8d0ef1","Updated JQuery","False","None","f",1,1,1,0,9597,3,-1,6,0.00482638888888889,2,177,208.194244604317,110,0,"NorseSquare",2,0.605939372103,"ham","True","True"
"142",148,"571c1413a5600ecca3741462ec57229b067dc990","Update feature versions","False","None","f",1,10,10,2.93379981119697,26,19,37.3,8,145.370209490741,41,9824.5,3.67929463871233,377,0,"PTP",3,0.806283484937,"ham","True","True"
"148",154,"2fac4e6f1fd53af79941155c1ea4ba4709ed95ef","Finishing up 3d stuff for now to work on firmware","False","None","f",1,1,1,0,77,60,380,1,0.667141203703704,5,64,2.4989330511268,46,0,"ReplicatorG",5,0.808869496915,"ham","True","True"
"149",155,"d1a1883ac71ae46aef2dfe195236eef8ceda5c17","fixes to make mipmaps work","True","Corrective","t",1,1,1,0,17,11,2561,3,10.8075925925926,18,6435,1.09252754407909,181,0,"processing",4,0.576869110874,"ham","True","True"
"151",157,"46f702802d2319e22099e3107fc076b5791d9edd","git-svn-id: svn://svn.orangeleap.com/tangerine/tangerine/trunk@4801 0f581344-5646-3a48-8ded-616bfea576c6","False","None","f",1,1,1,0,1,1,60,10,0.130844907407407,21,1248,8.64263600176913,77,0,"orangeleap-tangerine",16,0.5,"ham","True","True"
"229",237,"cd3bc7c76ff86214b299bba75617c60099b45664","*** empty log message ***","False","None","f",1,1,1,0,2,2,112,2,0.00163194444444444,21,710,613.765957446808,710,0,"eclipse",2,0.687183804323,"ham","True","True"
"240",248,"dd96cb8d52fea1d6a966d328da65edb3fcd29c43","Danny: Tetsinggit-svn-id: http://www.molgenis.org/svn/molgenis_apps/trunk@9037 42de9c89-b41c-0410-9fa9-f33e7b6bda7an","False","None","f",1,1,1,0,2,2,32,1,0.00465277777777778,5,1384,215.925373134328,500,0,"molgenis_apps-legacy",17,0.215156368203,"ham","True","True"
"254",263,"aff9abda39d7e59539fa9b18edc328bd921af53d","Made changes to Nick's app","False","None","t",1,10,24,1.81857996962735,286,22,97.5416666666667,2,15.8814781057099,75,2169.5,1.00825531246123,153,0,"iSENSE-Hardware",4,0.224933854711,"ham","True","True"
"261",270,"baed122d7d512f27aa3a3f24c0278385fe139e96","update from jarno","False","None","f",1,1,1,0,46,43,44,1,119.218321759259,2,1792,1.00838797246299,1167,0,"chipster",2,0.919854488142,"spam","True","True"
"262",271,"33103f504876d99bb367c7d1360963893903a967","Updates to various sections.git-svn-id: http://mobicents.googlecode.com/svn/trunk@544 bf0df8d0-2c1f-0410-b170-bd30377b63dcn","False","None","f",1,1,1,0,2,0,161,1,0.488310185185185,31,661,3.04787864422849,661,0,"mobicents",18,0.610743084663,"ham","True","True"
"267",276,"9fe55a57d80198373c6589722743a5f6abd8a58b","*** empty log message ***git-svn-id: https://svn.apache.org/repos/asf/incubator/jena/Import/Joseki-CVS/Joseki3/trunk@1115086 13f79535-47bb-0310-9956-ffa450edef68n","False","None","f",1,1,2,0.863120568566631,6,8,242,1,15.4550868055556,46,4114.5,1.03240090263575,326,0,"jena-joseki",24,0.721457783055,"spam","True","True"
"280",289,"9f603b8bf9b512bdc1a5ed3deee0f6f4f64344b7","changes for build process","False","None","f",1,1,1,0,284,305,305,2,5.75644675925926,15,1120,1.1737182748006,21,0,"riena",3,0.724104824524,"ham","True","True"
"289",298,"d8c3d9e89fc0af9b5fb641e9429cfeea8429c997","New changes back","False","Feature Addition","f",1,1,1,0,3,3,7274,10,0.00177083333333333,584,446,565.705882352941,322,0,"ORCID-Source",2,0.93602762337,"spam","True","True"
"300",309,"916fdda3f1c2e4000378d6300c4fb9f705502174","Fix ordergit-svn-id: https://svn.apache.org/repos/asf/maven/continuum/trunk@475727 13f79535-47bb-0310-9956-ffa450edef68n","True","Corrective","f",1,1,1,0,23,23,151,8,0.0130208333333333,3,3658,77.8,1065,0,"continuum",19,0.658055083334,"ham","True","True"
"328",337,"ab8dd8567046e9612a39a45baf9eebcea6a96d2a","more reformating.","False","None","t",1,1,1,0,1,1,801,11,0.00100694444444444,8,10884,994.103448275862,1781,0,"hk2",1,0.5,"ham","True","True"
"331",340,"ff8a83dcd5df7b1aea97216e57767959aeeb186b","-","False","None","f",1,1,1,0,6,11,67,15,0.00353009259259259,2,6603,284.27868852459,5984,0,"g3m",0,0.746764238547,"spam","True","True"
"340",350,"a93f30cadf3cfdbf27b387fd86d073d15aa33f2b","1","False","None","f",1,6,6,2.17931386045521,38,25,378.333333333333,4,4.3074575617284,45,688.5,1.07634899499753,691,0,"dms-project",1,0.5,"spam","True","True"
"369",379,"fe62c803e24587de01c85e722f026641f567e789","fix small bugs","True","Corrective","f",1,2,2,1,2,2,76,19,0.013275462962963,6,1805.5,57.4952048823016,196,0,"kde-owncloud",3,0.997508790182,"ham","True","True"
